Year,Inflation,US Stock Market,US Large Cap,US Large Cap Value,US Large Cap Growth,US Mid Cap,US Mid Cap Value,US Mid Cap Growth,US Small Cap,US Small Cap Value,US Small Cap Growth,US Micro Cap,Global ex-US Stock Market,Intl Developed ex-US Market,International ex-US Small Cap,International ex-US Value,European Stocks,Pacific Stocks,Emerging Markets,Cash,Short Term Treasury,Intermediate Term Treasury,10-year Treasury,Long Term Treasury,Total US Bond Market,TIPS,Global Bonds (Unhedged),Global Bonds (USD Hedged),Short-Term Investment Grade,Corporate Bonds,Long-Term Corporate Bonds,High Yield Corporate Bonds,Short-Term Tax-Exempt,Intermediate-Term Tax-Exempt,Long-Term Tax-Exempt,REIT,Gold,Precious Metals,Commodities
2003,0.0188,0.3135,0.2850,0.3225,0.2592,0.3414,0.3794,0.3559,0.4563,0.3719,0.4288,0.8098,0.4034,0.3867,0.6648,0.4993,0.3870,0.3842,0.5765,0.0102,0.0238,0.0237,0.0015,0.0268,0.0397,0.0800,0.1659,0.0393,0.0420,0.0908,0.0626,0.1720,0.0164,0.0446,0.0521,0.3566,0.1989,0.5945,NA
2004,0.0326,0.1252,0.1074,0.1526,0.0720,0.2035,0.2604,0.1300,0.1990,0.2355,0.1606,0.1909,0.2084,0.2025,0.3480,0.2880,0.2086,0.1883,0.2612,0.0119,0.0103,0.0340,0.0450,0.0712,0.0424,0.0827,0.1157,0.0611,0.0211,0.0572,0.0894,0.0852,0.0112,0.0323,0.0412,0.3076,0.0465,0.0809,NA
2005,0.0342,0.0598,0.0477,0.0710,0.0509,0.1393,0.1602,0.0811,0.0736,0.0607,0.0864,0.0408,0.1557,0.1360,0.2323,0.1527,0.0926,0.2259,0.3205,0.0298,0.0177,0.0231,0.0301,0.0661,0.0240,0.0259,-0.0636,0.0498,0.0220,0.0116,0.0513,0.0277,0.0165,0.0224,0.0307,0.1189,0.1776,0.4379,NA
2006,0.0254,0.1551,0.1564,0.2213,0.0901,0.1360,0.1477,0.1179,0.1566,0.1924,0.1195,0.1148,0.2664,0.2627,0.2839,0.3034,0.3342,0.1199,0.2939,0.0481,0.0377,0.0314,0.0219,0.0174,0.0427,0.0043,0.0585,0.0294,0.0499,0.0422,0.0286,0.0824,0.0326,0.0443,0.0516,0.3507,0.2255,0.3430,NA
2007,0.0408,0.0549,0.0539,0.0008,0.1256,0.0602,-0.0437,0.1730,0.0116,-0.0707,0.0963,-0.0540,0.1552,0.1115,0.0295,0.0423,0.1382,0.0478,0.3890,0.0467,0.0789,0.0998,0.1042,0.0924,0.0692,0.1159,0.0926,0.0499,0.0586,0.0373,0.0375,0.0204,0.0419,0.0343,0.0254,-0.1646,0.3045,0.3613,0.3162
2008,0.0009,-0.3704,-0.3702,-0.3597,-0.3832,-0.4182,-0.3664,-0.4707,-0.3607,-0.3205,-0.4000,-0.3949,-0.4410,-0.4127,-0.4168,-0.4167,-0.4473,-0.3436,-0.5281,0.0159,0.0668,0.1332,0.2053,0.2251,0.0505,-0.0285,-0.0268,-0.0235,-0.0474,0.0240,0.0229,-0.2129,0.0374,-0.0014,-0.0487,-0.3705,0.0492,-0.5602,-0.4575
2009,0.0272,0.2870,0.2649,0.1958,0.3629,0.4022,0.3761,0.4254,0.3612,0.3034,0.4185,0.2596,0.3673,0.2827,0.4752,0.2836,0.3191,0.2118,0.7598,0.0009,0.0144,-0.0169,-0.1017,-0.1206,0.0593,0.1080,0.1717,0.1530,0.1403,0.0846,0.0875,0.3909,0.0307,0.1022,0.1408,0.2958,0.2403,0.7646,0.1122
2010,0.0150,0.1709,0.1491,0.1427,0.1696,0.2546,0.2163,0.2893,0.2772,0.2482,0.3069,0.2486,0.1112,0.0836,0.2496,0.0447,0.0491,0.1577,0.1886,0.0010,0.0263,0.0735,0.0792,0.0893,0.0642,0.0617,0.1124,0.0853,0.0521,0.0933,0.1071,0.1240,0.0095,0.0213,0.0150,0.2830,0.2927,0.3745,0.0717
2011,0.0296,0.0096,0.0197,0.0100,0.0171,-0.0211,-0.0044,-0.0384,-0.0280,-0.0416,-0.0158,-0.0786,-0.1456,-0.1251,-0.1909,-0.1242,-0.1160,-0.1400,-0.1878,0.0004,0.0226,0.0979,0.1624,0.2928,0.0756,0.1323,0.0920,0.0860,0.0193,0.0973,0.1718,0.0713,0.0160,0.0962,0.1069,0.0847,0.0957,-0.2170,-0.0328
2012,0.0174,0.1625,0.1582,0.1500,0.1689,0.1580,0.1591,0.1581,0.1804,0.1856,0.1752,0.1983,0.1814,0.1856,0.1889,0.1883,0.2080,0.1549,0.1864,0.0006,0.0069,0.0267,0.0273,0.0346,0.0405,0.0677,0.0742,0.0954,0.0452,0.1058,0.1166,0.1436,0.0099,0.0570,0.0808,0.1753,0.0660,-0.1298,-0.0058
2013,0.0150,0.3335,0.3218,0.3287,0.3216,0.3500,0.3742,0.3202,0.3762,0.3641,0.3798,0.5091,0.1504,0.2206,0.1744,0.2184,0.2470,0.1736,-0.0519,0.0000,-0.0010,-0.0309,-0.0857,-0.1303,-0.0226,-0.0892,-0.0504,-0.0081,0.0097,-0.0200,-0.0587,0.0454,0.0048,-0.0156,-0.0295,0.0231,-0.2833,-0.3513,-0.0183
2014,0.0076,0.1243,0.1351,0.1307,0.1347,0.1360,0.1384,0.1335,0.0737,0.1039,0.0388,0.0461,-0.0424,-0.0566,-0.0481,-0.0680,-0.0667,-0.0469,0.0042,0.0000,0.0071,0.0432,0.1063,0.2527,0.0576,0.0383,0.0237,0.0970,0.0176,0.0821,0.1817,0.0458,0.0065,0.0725,0.1107,0.3013,-0.0219,-0.1141,-0.3296
2015,0.0073,0.0029,0.0125,-0.0104,0.0317,-0.0145,-0.0191,-0.0113,-0.0378,-0.0477,-0.0264,-0.0828,-0.0438,-0.0019,-0.0032,-0.0586,-0.0200,0.0225,-0.1547,0.0001,0.0045,0.0150,0.0112,-0.0154,0.0030,-0.0183,-0.0357,0.0000,0.0103,-0.0125,-0.0220,-0.0140,0.0045,0.0285,0.0397,0.0222,-0.1067,-0.2942,-0.3406
2016,0.0207,0.1253,0.1182,0.1675,0.0599,0.1107,0.1511,0.0662,0.1817,0.2465,0.1061,0.2147,0.0465,0.0245,0.0417,0.0505,-0.0080,0.0519,0.1150,0.0021,0.0100,0.0119,0.0100,0.0121,0.0250,0.0452,0.0425,0.0617,0.0275,0.0621,0.0783,0.1119,0.0036,0.0008,0.0062,0.0834,0.0803,0.5064,0.1012
2017,0.0211,0.2105,0.2167,0.1699,0.2765,0.1912,0.1691,0.2172,0.1610,0.1167,0.2178,0.1247,0.2740,0.2640,0.3012,0.2125,0.2682,0.2839,0.3115,0.0079,0.0040,0.0158,0.0239,0.0859,0.0345,0.0281,0.0921,0.0432,0.0203,0.0706,0.1194,0.0702,0.0100,0.0454,0.0643,0.0483,0.1281,0.1375,0.0389
2018,0.0191,-0.0526,-0.0453,-0.0555,-0.0346,-0.0934,-0.1253,-0.0574,-0.0943,-0.1234,-0.0580,-0.1712,-0.1444,-0.1446,-0.1852,-0.1466,-0.1486,-0.1398,-0.1471,0.0180,0.0135,0.0100,0.0099,-0.0190,-0.0013,-0.0149,-0.0382,-0.0046,0.0086,-0.0379,-0.0595,-0.0296,0.0159,0.0125,0.0090,-0.0611,-0.0194,-0.0879,-0.1388
2019,0.0061,0.1400,0.1362,0.1072,0.1686,0.1672,0.1377,0.1955,0.1615,0.1332,0.1946,0.1410,0.1022,0.1016,0.1043,0.0809,0.1064,0.0835,0.1130,0.0058,0.0107,0.0210,0.0278,0.0461,0.0292,0.0313,0.0238,0.0270,0.0215,0.0618,0.0705,0.0737,0.0079,0.0264,0.0314,0.1725,0.0063,0.0631,0.1377
